chromosome	start	end	segVal	sample
8	67590001	68190000	2.0113365405066	IM_3
8	68190001	69510000	3.22648112992979	IM_3
8	69510001	71040000	2.54320441247597	IM_3
8	71040001	71970000	3.1625116231121	IM_3
8	71970001	73410000	1.87629832848427	IM_3
8	73410001	75360000	3.0332572737571	IM_3
8	75360001	76230000	2.20321327508157	IM_3
8	76230001	76770000	2.84729412678075	IM_3
8	76770001	77400000	3.92426226365575	IM_3
8	77400001	79050000	2.8270594406252	IM_3
8	79050001	82140000	4.22186802590947	IM_3
8	82140001	82920000	3.14433149301612	IM_3
8	82920001	88500000	1.90615719285783	IM_3
8	88500001	89550000	0.896748299255722	IM_3
8	89550001	94230000	1.96135984198449	IM_3
8	94230001	96720000	1.07034944493289	IM_3
8	96720001	99150000	2.04795694884877	IM_3
8	99150001	102780000	3.19042794899315	IM_3
8	102780001	108090000	4.0225416361415	IM_3
8	108090001	108450000	5.23127349934211	IM_3
8	108450001	110670000	3.86421820734569	IM_3
8	110670001	126780000	3.0256777862415	IM_3
8	126780001	135870000	5.06945619024081	IM_3
8	135870001	142410000	4.21462740828669	IM_3
8	142410001	144990000	3.58550342567005	IM_3
8	144990001	146310000	4.94364096723872	IM_3
9	210001	79650000	1.97492710741575	IM_3
9	79650001	1.41e+08	1.01341645133449	IM_3
10	120001	10770000	1.01488522813802	IM_3
10	10770001	81390000	1.99637403460012	IM_3
10	81690001	94020000	0.976191373725145	IM_3
10	94020001	135420000	1.98177786818776	IM_3
11	210001	50190000	1.99948628191126	IM_3
11	50190001	62910000	1.00180386766923	IM_3
11	62910001	66900000	2.98455205441417	IM_3
11	66900001	74340000	4.03299765824843	IM_3
11	74340001	82440000	1.9473970906888	IM_3
11	82440001	84990000	3.95191005400247	IM_3
11	84990001	86460000	6.22848335858309	IM_3
11	86460001	87810000	4.49639543562808	IM_3
11	87810001	134940000	1.00194734430309	IM_3
12	180001	133830000	1.96804917066006	IM_3
13	19530001	115110000	2.00336101674606	IM_3
14	20190001	68430000	1.97507124316383	IM_3
14	68430001	69180000	2.82052050226581	IM_3
14	69180001	107310000	1.9683010844588	IM_3
15	22320001	22590000	3.89953508862016	IM_3
15	22770001	102390000	1.99141988056497	IM_3
16	90001	90150000	1.87294031723596	IM_3
17	1	33870000	1.9410918885608	IM_3
17	33870001	74190000	2.98370563996387	IM_3
17	74190001	81090000	1.02888473191628	IM_3
18	150001	40710000	1.93905148362629	IM_3
18	40710001	78030000	0.953912892486383	IM_3
19	270001	59100000	1.87541442775138	IM_3
20	60001	20730000	1.02894258069144	IM_3
20	20730001	62910000	2.88426373508442	IM_3
21	15480001	48090000	1.92839701358755	IM_3
22	17280001	51180000	1.93100499677991	IM_3
1	840001	8520000	1.05910736507542	JBLAB-4103
1	8520001	12060000	1.87401191840308	JBLAB-4103
1	12060001	12720000	2.47045075089025	JBLAB-4103
1	12720001	14730000	1.89350120554072	JBLAB-4103
1	14730001	15090000	2.81789960040918	JBLAB-4103
1	15090001	202110000	1.92431529248114	JBLAB-4103
1	202110001	221760000	1.1519542693365	JBLAB-4103
1	221760001	234990000	1.83672399048962	JBLAB-4103
1	234990001	249210000	2.6258542707841	JBLAB-4103
2	30001	240660000	1.93312697485408	JBLAB-4103
2	240660001	2.43e+08	1.42605703238767	JBLAB-4103
3	90001	50280000	1.22297814328489	JBLAB-4103
3	50280001	133980000	2.03400468297076	JBLAB-4103
3	133980001	148890000	2.87543982035647	JBLAB-4103
3	148890001	149670000	4.17899090384479	JBLAB-4103
3	149670001	197820000	2.94124102206325	JBLAB-4103
4	90001	190800000	2.01030186708349	JBLAB-4103
5	60001	180690000	1.91779624902248	JBLAB-4103
6	210001	12780000	1.56139345591283	JBLAB-4103
6	12780001	55950000	2.53312549930099	JBLAB-4103
6	55950001	57180000	3.70479593013277	JBLAB-4103
6	57600001	84720000	1.84114219630358	JBLAB-4103
6	84720001	170910000	1.11209834181418	JBLAB-4103
7	30001	159120000	2.00964994742602	JBLAB-4103
8	180001	38340000	1.18796706580425	JBLAB-4103
8	38340001	39240000	2.0382988127041	JBLAB-4103
8	39240001	39390000	-0.684303254912592	JBLAB-4103
8	39390001	53370000	2.02143270109685	JBLAB-4103
8	53370001	53910000	3.0369391199223	JBLAB-4103
8	53910001	115950000	2.03818959848288	JBLAB-4103
8	115950001	146310000	3.23992937731728	JBLAB-4103
9	210001	78870000	0.971870077006546	JBLAB-4103
9	78870001	1.41e+08	1.75305441982059	JBLAB-4103
10	120001	135420000	2.01048296968769	JBLAB-4103
11	210001	32250000	1.991860943351	JBLAB-4103
11	32250001	32400000	3.70645593816284	JBLAB-4103
11	32400001	134940000	1.98136676134826	JBLAB-4103
12	180001	7200000	2.84694287785581	JBLAB-4103
12	7230001	104070000	2.05284356647949	JBLAB-4103
12	104070001	120660000	2.79801405026078	JBLAB-4103
12	120660001	120750000	5.85959485235652	JBLAB-4103
12	120750001	133830000	2.50318750104957	JBLAB-4103
13	19530001	115110000	1.60604277028808	JBLAB-4103
14	20190001	107310000	1.99760347035707	JBLAB-4103
15	22320001	48390000	1.97657722353138	JBLAB-4103
15	48390001	48840000	3.29630890159595	JBLAB-4103
15	48840001	76500000	2.86883437624024	JBLAB-4103
15	76500001	90360000	1.98421368607212	JBLAB-4103
15	90360001	102390000	2.76859783315326	JBLAB-4103
16	90001	690000	1.27109270971175	JBLAB-4103
16	690001	66930000	1.94860953471587	JBLAB-4103
16	66930001	8.4e+07	1.17499915897569	JBLAB-4103
16	84000001	90150000	1.94259709806495	JBLAB-4103
17	1	6270000	0.943249821363265	JBLAB-4103
17	6270001	7530000	1.36158429597258	JBLAB-4103
17	7530001	36840000	0.96819374848238	JBLAB-4103
17	36840001	46500000	1.35902330331223	JBLAB-4103
17	46500001	75900000	2.12891507622102	JBLAB-4103
17	75900001	80070000	1.41185462581617	JBLAB-4103
17	80070001	81090000	2.15877637668582	JBLAB-4103
18	150001	3720000	1.02839309079355	JBLAB-4103
18	3720001	5700000	0.6791430490027	JBLAB-4103
18	5700001	48360000	0.982293745427859	JBLAB-4103
18	48360001	48630000	0.16869565059944	JBLAB-4103
18	48630001	78030000	0.951118734889986	JBLAB-4103
19	270001	10290000	1.43293467316139	JBLAB-4103
19	10290001	59100000	1.84335272913388	JBLAB-4103
20	60001	62910000	2.01559253531918	JBLAB-4103
21	15480001	48090000	1.83251972051447	JBLAB-4103
22	17280001	30990000	0.957529444154147	JBLAB-4103
22	30990001	31860000	1.73162505182837	JBLAB-4103
22	31860001	51180000	0.897652722541967	JBLAB-4103
1	840001	14160000	2.04685898835922	JBLAB-4218
1	14160001	15450000	0.98592462657467	JBLAB-4218
1	15450001	15870000	1.95284489393137	JBLAB-4218
1	15870001	16800000	2.95810004564253	JBLAB-4218
1	17280001	24090000	2.03578131444648	JBLAB-4218
1	24090001	27360000	0.982951394248331	JBLAB-4218
1	27360001	36300000	2.03791007136432	JBLAB-4218
1	36300001	36780000	6.41805511839424	JBLAB-4218
1	36780001	41220000	7.2519514376094	JBLAB-4218
1	41220001	44490000	8.1810894918816	JBLAB-4218
1	44490001	49350000	6.05305786828139	JBLAB-4218
1	49350001	50550000	3.66986097843381	JBLAB-4218
1	50550001	67410000	6.18046208157328	JBLAB-4218
1	67410001	72240000	1.96136209460245	JBLAB-4218
1	72240001	72420000	0.874231068430278	JBLAB-4218
1	72420001	72690000	3.87127169177915	JBLAB-4218
1	72690001	74610000	1.95849619794251	JBLAB-4218
1	74610001	75720000	5.53546947670773	JBLAB-4218
1	75720001	79620000	4.09410702134596	JBLAB-4218
1	79620001	86490000	2.03102333676452	JBLAB-4218
1	86490001	87570000	3.81093319844106	JBLAB-4218
1	87570001	108030000	2.03380804211893	JBLAB-4218
1	108030001	109410000	3.9739418493324	JBLAB-4218
1	109410001	119190000	2.0615310267533	JBLAB-4218
1	119190001	192750000	4.0042461526576	JBLAB-4218
1	192750001	193470000	2.04581233257851	JBLAB-4218
1	193470001	215190000	4.05239526242353	JBLAB-4218
1	215190001	245160000	2.93599624069032	JBLAB-4218
1	245160001	245640000	3.9052450480285	JBLAB-4218
1	245640001	249210000	2.83474988007231	JBLAB-4218
2	30001	14430000	3.79414465081134	JBLAB-4218
2	14430001	14550000	1.93048374525823	JBLAB-4218
2	14550001	30600000	3.98915690176738	JBLAB-4218
2	30600001	43350000	2.00290012280745	JBLAB-4218
2	43350001	44250000	4.25452057856857	JBLAB-4218
2	44250001	44580000	6.42579742534706	JBLAB-4218
2	44580001	62370000	3.86162165872371	JBLAB-4218
2	62370001	62640000	2.30320989552785	JBLAB-4218
2	62640001	68040000	4.14610989344622	JBLAB-4218
2	68040001	68130000	7.08412073960351	JBLAB-4218
2	68130001	77610000	4.01702028551338	JBLAB-4218
2	77610001	77880000	2.12418175426042	JBLAB-4218
2	77910001	80310000	3.94703799961142	JBLAB-4218
2	80310001	80880000	5.97315156757701	JBLAB-4218
2	80880001	102300000	4.04236805396981	JBLAB-4218
2	102300001	103170000	6.21966324376259	JBLAB-4218
2	103170001	113820000	3.97636875324204	JBLAB-4218
2	113820001	114060000	5.94082508323267	JBLAB-4218
2	114420001	116340000	3.8581950151824	JBLAB-4218
2	116340001	116520000	1.49112028745304	JBLAB-4218
2	116520001	134190000	3.85741195186718	JBLAB-4218
2	134190001	134820000	2.95540545787884	JBLAB-4218
2	134820001	141720000	3.87710553158483	JBLAB-4218
2	141720001	142110000	2.27630136993424	JBLAB-4218
2	142110001	166740000	3.9342546160171	JBLAB-4218
2	166740001	166830000	1.53340434448531	JBLAB-4218
2	166830001	198960000	4.04007466950472	JBLAB-4218
2	198960001	204300000	2.06561283999392	JBLAB-4218
2	204300001	205890000	4.08719324453397	JBLAB-4218
2	205890001	206670000	1.97770500348525	JBLAB-4218
2	206670001	213600000	4.09320495830397	JBLAB-4218
2	213630001	214680000	3.02331241622173	JBLAB-4218
2	214680001	215100000	0.924631699928367	JBLAB-4218
2	215100001	216990000	2.16648546535512	JBLAB-4218
2	216990001	217350000	4.18830681677445	JBLAB-4218
2	217350001	219270000	6.46481214783161	JBLAB-4218
2	219270001	2.43e+08	1.98583573404462	JBLAB-4218
3	90001	13410000	1.95315023186345	JBLAB-4218
3	13410001	14010000	3.31094438054077	JBLAB-4218
3	14040001	41730000	1.99086544668966	JBLAB-4218
3	41730001	42300000	3.12285055196734	JBLAB-4218
3	42300001	65100000	2.05453995170625	JBLAB-4218
3	65100001	97440000	3.5740490840229	JBLAB-4218
3	97440001	107280000	2.60241146955823	JBLAB-4218
3	107280001	197820000	3.68628662574965	JBLAB-4218
4	90001	19620000	1.99032771838033	JBLAB-4218
4	19620001	19950000	1.04344184507088	JBLAB-4218
4	19950001	39060000	2.00243828455153	JBLAB-4218
4	39060001	39420000	1.04843092517107	JBLAB-4218
4	39420001	190800000	1.99593783036786	JBLAB-4218
5	60001	43920000	3.03418829789911	JBLAB-4218
5	43920001	45900000	1.9177603182748	JBLAB-4218
5	49560001	53910000	1.02607532004303	JBLAB-4218
5	53910001	54870000	2.16040211810324	JBLAB-4218
5	54870001	57510000	0.146185814849046	JBLAB-4218
5	57510001	59100000	1.05240746476077	JBLAB-4218
5	59100001	59370000	-0.0501523051675244	JBLAB-4218
5	59370001	62250000	1.00664214701388	JBLAB-4218
5	62250001	63240000	1.87135683802194	JBLAB-4218
5	63240001	63450000	-0.0859828008843473	JBLAB-4218
5	63450001	73710000	1.03319678431136	JBLAB-4218
5	73710001	103050000	1.96579741058911	JBLAB-4218
5	103080001	154320000	3.00222660060051	JBLAB-4218
5	154320001	154740000	4.74284670388013	JBLAB-4218
5	154740001	180690000	2.89723320973778	JBLAB-4218
6	210001	5370000	5.67395543349825	JBLAB-4218
6	5370001	57180000	4.14721813290847	JBLAB-4218
6	57600001	108630000	1.94636019026948	JBLAB-4218
6	108630001	109110000	0.927560979544652	JBLAB-4218
6	109110001	131160000	2.00805972653813	JBLAB-4218
6	131160001	131700000	4.00270640368896	JBLAB-4218
6	131700001	170910000	2.09187886816823	JBLAB-4218
7	30001	57630000	2.00536385931477	JBLAB-4218
7	62610001	108930000	2.99418944748199	JBLAB-4218
7	108930001	109860000	1.9071470235532	JBLAB-4218
7	109860001	110370000	0.0725035815125055	JBLAB-4218
7	110370001	111300000	1.35394389760599	JBLAB-4218
7	111300001	112800000	2.00859904484124	JBLAB-4218
7	112800001	113160000	2.87954180468506	JBLAB-4218
7	113160001	1.17e+08	1.99593783036786	JBLAB-4218
7	117000001	117690000	3.49762426846518	JBLAB-4218
7	117690001	159120000	1.96660071011045	JBLAB-4218
8	180001	39240000	1.91351268265119	JBLAB-4218
8	39240001	39390000	-0.922723977057092	JBLAB-4218
8	39390001	49110000	2.00701974902694	JBLAB-4218
8	49110001	57630000	4.01120280658112	JBLAB-4218
8	57630001	58530000	5.69088720744268	JBLAB-4218
8	58530001	90360000	2.02576682224765	JBLAB-4218
8	90360001	90810000	1.1019719403561	JBLAB-4218
8	90810001	91110000	2.14659805765978	JBLAB-4218
8	91110001	91500000	1.11074192232328	JBLAB-4218
8	91500001	93180000	1.94152038136739	JBLAB-4218
8	93180001	95220000	5.00571869388665	JBLAB-4218
8	95220001	96780000	2.29558540368992	JBLAB-4218
8	96780001	109980000	5.2298883420967	JBLAB-4218
8	109980001	110310000	2.74057475122695	JBLAB-4218
8	110310001	125340000	4.94298094390607	JBLAB-4218
8	125340001	136470000	7.01439092877481	JBLAB-4218
8	136470001	139890000	4.52952188159581	JBLAB-4218
8	139890001	141030000	5.75755885234009	JBLAB-4218
8	141030001	141810000	4.04660720120936	JBLAB-4218
8	141810001	146310000	2.0504655107253	JBLAB-4218
9	210001	9030000	2.06001561646544	JBLAB-4218
9	9030001	9810000	0.933364423345095	JBLAB-4218
9	9810001	28860000	1.94525468698106	JBLAB-4218
9	28860001	37080000	3.0148536493003	JBLAB-4218
9	37080001	80130000	1.9718822383287	JBLAB-4218
9	80130001	80670000	1.00069843725824	JBLAB-4218
9	80700001	125790000	1.97387359640439	JBLAB-4218
9	125790001	126240000	3.8970846145918	JBLAB-4218
9	126240001	131160000	3.19162707382019	JBLAB-4218
9	131160001	132360000	1.96962361951863	JBLAB-4218
9	132360001	136350000	3.23250793842836	JBLAB-4218
9	136350001	139410000	2.01137344455266	JBLAB-4218
9	139410001	140130000	2.71074051192424	JBLAB-4218
9	140130001	1.41e+08	2.02290857413775	JBLAB-4218
10	120001	7.2e+07	1.98288131089635	JBLAB-4218
10	72000001	102120000	3.11784703628059	JBLAB-4218
10	102120001	103350000	2.12374994616828	JBLAB-4218
10	103350001	135420000	2.97468527411073	JBLAB-4218
11	210001	6060000	2.04635502056476	JBLAB-4218
11	6060001	14910000	3.0898654782299	JBLAB-4218
11	14910001	25140000	1.94430183319642	JBLAB-4218
11	25140001	63570000	2.97357851439711	JBLAB-4218
11	63570001	64890000	4.18623333542136	JBLAB-4218
11	64890001	67230000	3.18830881382854	JBLAB-4218
11	67230001	79200000	2.12638051216962	JBLAB-4218
11	79200001	79920000	3.01031629581988	JBLAB-4218
11	79920001	134940000	1.94357776729768	JBLAB-4218
12	180001	1290000	3.13778896691735	JBLAB-4218
12	1290001	1530000	0.497610001495485	JBLAB-4218
12	1530001	31590000	3.01449768580853	JBLAB-4218
12	31590001	40110000	4.07332975111329	JBLAB-4218
12	40110001	40500000	2.78615481129421	JBLAB-4218
12	40500001	41490000	3.77874450156843	JBLAB-4218
12	41490001	99720000	3.01107234340638	JBLAB-4218
12	99720001	100020000	1.24211649075974	JBLAB-4218
12	100020001	123480000	3.00893780409947	JBLAB-4218
12	123480001	124200000	3.72535268539864	JBLAB-4218
12	124200001	133830000	2.785290627255	JBLAB-4218
13	19530001	25770000	1.97249489293938	JBLAB-4218
13	25770001	26070000	4.05109765011956	JBLAB-4218
13	26070001	28920000	1.92512514237469	JBLAB-4218
13	28920001	31470000	3.94205100788701	JBLAB-4218
13	31470001	48840000	2.05881132686826	JBLAB-4218
13	48840001	49260000	0.239769728132213	JBLAB-4218
13	49260001	72510000	1.95425721403824	JBLAB-4218
13	72510001	115110000	3.96374541777145	JBLAB-4218
14	20190001	20280000	4.4599847259581	JBLAB-4218
14	20460001	38370000	2.03067533839266	JBLAB-4218
14	38370001	39390000	0.937444384836678	JBLAB-4218
14	39390001	46530000	1.89300082325154	JBLAB-4218
14	46530001	47040000	0.867454132706186	JBLAB-4218
14	47040001	107310000	2.01233707649472	JBLAB-4218
15	22320001	43620000	1.99324739533584	JBLAB-4218
15	43620001	44160000	3.37048762644178	JBLAB-4218
15	44160001	102390000	2.0465488494047	JBLAB-4218
16	90001	26790000	1.94506410390624	JBLAB-4218
16	26790001	27780000	3.8252631019041	JBLAB-4218
16	27780001	35130000	3.09013494152694	JBLAB-4218
16	46530001	90150000	1.96033021216496	JBLAB-4218
17	1	72750000	2.07526447770143	JBLAB-4218
17	72750001	73680000	3.42361740922194	JBLAB-4218
17	73680001	79290000	2.11719797584117	JBLAB-4218
17	79290001	79710000	3.31177433955733	JBLAB-4218
17	79740001	81090000	2.18699051148114	JBLAB-4218
18	150001	9270000	4.94671643240712	JBLAB-4218
18	9270001	56400000	2.99933940137436	JBLAB-4218
18	56400001	78030000	1.93736969828764	JBLAB-4218
19	270001	10290000	2.00728935558109	JBLAB-4218
19	10290001	14670000	3.13656941446384	JBLAB-4218
19	14670001	17010000	3.76288448320815	JBLAB-4218
19	17010001	18330000	2.03133268540295	JBLAB-4218
19	18330001	18630000	3.36946636510856	JBLAB-4218
19	18630001	19170000	2.04840991963538	JBLAB-4218
19	19170001	24360000	3.6635769156537	JBLAB-4218
19	28320001	31140000	10.2847909761811	JBLAB-4218
19	31140001	36990000	6.87677165335337	JBLAB-4218
19	36990001	39840000	9.5778071765059	JBLAB-4218
19	39840001	40500000	20.0832341873604	JBLAB-4218
19	40500001	41310000	29.3309951819898	JBLAB-4218
19	41400001	44850000	2.02422165574596	JBLAB-4218
19	45030001	59100000	2.96327091864507	JBLAB-4218
20	60001	14130000	3.94170546792048	JBLAB-4218
20	14130001	15480000	3.16008866949983	JBLAB-4218
20	15480001	16560000	4.63233322488142	JBLAB-4218
20	16560001	18420000	3.95939284748537	JBLAB-4218
20	18420001	29940000	4.77785907167141	JBLAB-4218
20	29940001	30600000	8.5197715613574	JBLAB-4218
20	30600001	40770000	4.11583070372052	JBLAB-4218
20	40770001	41430000	3.22757533131542	JBLAB-4218
20	41430001	45810000	4.00365009271397	JBLAB-4218
20	45810001	46290000	6.42628145355029	JBLAB-4218
20	46290001	62910000	3.94155738305877	JBLAB-4218
21	15480001	45120000	2.0630079407887	JBLAB-4218
21	45150001	48090000	2.97039190670361	JBLAB-4218
22	17280001	23550000	2.02847181210344	JBLAB-4218
22	23550001	24270000	3.73873296335075	JBLAB-4218
22	24420001	28290000	2.94093224360033	JBLAB-4218
22	28290001	38460000	2.03984595161543	JBLAB-4218
22	38460001	41670000	1.07637955108528	JBLAB-4218
22	41670001	4.2e+07	2.93846385585616	JBLAB-4218
22	42000001	51180000	0.970768792416013	JBLAB-4218
1	840001	1380000	5.40414289036299	IM_202
1	1470001	31050000	3.98685662782718	IM_202
1	31050001	31410000	6.072810757985	IM_202
1	31410001	174840000	4.08177961472267	IM_202
1	174840001	249210000	5.03411817409779	IM_202
2	30001	24930000	4.8967977064563	IM_202
2	24930001	25380000	9.60185310158323	IM_202
2	25380001	28020000	3.86968415811356	IM_202
2	28020001	29100000	4.91235363107087	IM_202
2	29100001	42930000	4.11831153854864	IM_202
2	42930001	43410000	5.20689295321738	IM_202
2	43410001	46590000	4.08891000000814	IM_202
2	46590001	46830000	6.40164278631045	IM_202
2	46830001	99480000	4.0801388841574	IM_202
2	99480001	120120000	2.96612907440458	IM_202
2	120120001	120690000	4.01572131944231	IM_202
2	120690001	141960000	2.97766191365834	IM_202
2	141960001	142560000	1.30527511615066	IM_202
2	142560001	171150000	3.12021796290253	IM_202
2	171150001	171630000	1.97284401616883	IM_202
2	171630001	226200000	3.07397142968624	IM_202
2	226200001	227220000	2.07495713290553	IM_202
2	227220001	2.43e+08	2.99640535087108	IM_202
3	90001	5280000	2.92200510780872	IM_202
3	5280001	6510000	5.00943032428818	IM_202
3	6510001	32970000	3.03795665980323	IM_202
3	32970001	90150000	5.0668392458486	IM_202
3	90150001	155850000	3.11126242047285	IM_202
3	155850001	159480000	4.13052156996164	IM_202
3	159480001	160350000	3.10426951393512	IM_202
3	160350001	161370000	4.47904531413845	IM_202
3	161370001	161940000	5.70924691774541	IM_202
3	161940001	163260000	4.43853283602602	IM_202
3	163260001	177780000	5.58842788838723	IM_202
3	177780001	179730000	6.52943313668188	IM_202
3	179730001	183480000	4.94230247285353	IM_202
3	183480001	186240000	3.9479272420767	IM_202
3	186240001	197820000	3.08143193932576	IM_202
4	90001	4.5e+07	2.01947673050321	IM_202
4	45000001	190800000	2.86895465645526	IM_202
5	60001	34590000	1.99561551973717	IM_202
5	34590001	53580000	3.04380371761243	IM_202
5	53580001	65460000	2.02639674445917	IM_202
5	65460001	66960000	3.16090941178864	IM_202
5	66960001	144720000	2.07033550191271	IM_202
5	144720001	154350000	2.99162535922854	IM_202
5	154350001	157290000	3.88586812967414	IM_202
5	157290001	176610000	2.86614886801967	IM_202
5	176610001	177060000	4.19327043427969	IM_202
5	177390001	180690000	2.84330870846058	IM_202
6	210001	1590000	1.85504533583139	IM_202
6	1620001	4890000	6.45715198669556	IM_202
6	4890001	6060000	3.16109240665382	IM_202
6	6060001	7590000	6.32206138133287	IM_202
6	7590001	21120000	3.12836503507118	IM_202
6	21120001	23220000	4.09383786845627	IM_202
6	23220001	57180000	3.05060148010869	IM_202
6	57600001	89820000	2.03897598950729	IM_202
6	89820001	90360000	3.02528996398936	IM_202
6	90360001	112650000	2.15534187582171	IM_202
6	112650001	112830000	5.57954800059626	IM_202
6	112830001	115560000	2.49291080655419	IM_202
6	115560001	119670000	3.67070641773753	IM_202
6	119670001	119910000	1.10772250393905	IM_202
6	119910001	125370000	3.73347056279622	IM_202
6	125370001	129480000	6.2993736708876	IM_202
6	129480001	132180000	8.88808883019563	IM_202
6	132180001	150600000	6.14323756585925	IM_202
6	150600001	151140000	10.4270468570658	IM_202
6	151140001	151890000	5.63209351388956	IM_202
6	151890001	152220000	8.22244296716813	IM_202
6	152220001	170910000	3.00333555257006	IM_202
7	30001	150090000	4.05310989484815	IM_202
7	150090001	150570000	2.80989254681776	IM_202
7	150570001	159120000	3.95348525683218	IM_202
8	180001	30780000	0.971797238148918	IM_202
8	30780001	32730000	3.56308906158882	IM_202
8	32730001	35670000	0.911555745201637	IM_202
8	35670001	35850000	2.68015517060375	IM_202
8	35850001	36120000	3.7625841372388	IM_202
8	36120001	36600000	7.99356591225576	IM_202
8	36600001	38130000	4.80255772450702	IM_202
8	38130001	38850000	8.42067480419383	IM_202
8	38850001	39180000	10.6280026040845	IM_202
8	39180001	41340000	8.14112135315317	IM_202
