Location of Tumour biopsied	location_curated	tissue_group_curated
Pelvic exenteration - right adnexal region	pelvis	pelvic
Pelvic lymph node	lymph_node	lymph_node
Pelvic Lymph Node	lymph_node	lymph_node
Pelvic Lymph Nodule	lymph_node	lymph_node
Pelvic mass	pelvis	pelvic
Pelvic Mass biopsy	pelvis	pelvic
pelvic mass core biopsy	pelvis	pelvic
Pelvic peritoneaum - Right lower quadrant	peritoneum	peritoneum
Pelvic Peritoneum	peritoneum	peritoneum
Pelvic Side Wall	pelvis	pelvic
Pelvic Sidewall	pelvis	pelvic
Pelvic wall	pelvis	pelvic
Pelvis	pelvis	pelvic
Peri colic fat cyst	bowel	abdominal
Peri-colic Region	bowel	abdominal
Peri-nephric Region	abdominal	abdominal
Periotneal biopsy	peritoneum	peritoneum
perisplenic	perisplenic	abdominal
Perisplenic	perisplenic	abdominal
Peri-splenic	perisplenic	abdominal
Peri-splenic Region	perisplenic	abdominal
Peritoneal	peritoneum	peritoneum
Peritoneal 	peritoneum	peritoneum
Peritoneal at Vaginal Vault	gynae	pelvic
Peritoneal biopsy	peritoneum	peritoneum
Peritoneal Lymph Node	lymph_node	lymph_node
Peritoneal node	lymph_node	lymph_node
Peritoneal tumour	peritoneum	peritoneum
Peritoneum	peritoneum	peritoneum
Pleura	chest	other
Pleural biopsy	chest	other
Post Caecal deposit	colon	abdominal
Pouch Of Douglas	gynae	pelvic
Pouch of Douglas 	gynae	pelvic
Pouch of Douglas Bx	gynae	pelvic
Psoas	abdominal	abdominal
Rectal biopsy	colon	abdominal
Rectal Sigmoid	colon	abdominal
Rectum	colon	abdominal
Rectum/Sigmoid/Bladder	pelvis	pelvic
Recurrence from left iliac fossa	abdominal	abdominal
Recurrence From Left Iliac Fossa	abdominal	abdominal
Retroperitoneal Lymph Node	lymph_node	lymph_node
Retroperitoneal Lymph Nodule	lymph_node	lymph_node
Retroperitoneal nodule pericolic fat (not main cyst)	abdominal	abdominal
Right anteria abdominal wall	diaphragm	abdominal
Right Anteria Abdominal Wall	abdominal	abdominal
Right axillary lymph node	lymph_node	lymph_node
Right Axillary Lymph Node	lymph_node	lymph_node
Right axillary node mass	lymph_node	lymph_node
Right chest wall	chest	other
Right fallopian tube	ovary_FT	pelvic
Right FT & Ovary	ovary_FT	pelvic
Right Groin Lymph Node	lymph_node	lymph_node
Right groin node	lymph_node	lymph_node
Right groin node Bx	lymph_node	lymph_node
Right iliac foss node	lymph_node	lymph_node
Right Inguinal Lymph Node	lymph_node	lymph_node
Right inguinal node	lymph_node	lymph_node
Right obturator fossa	pelvis	pelvic
Right ovarian mass and FT	ovary_FT	pelvic
Right ovary	ovary_FT	pelvic
Right ovary and right FT	ovary_FT	pelvic
Right paracolic peritoneum	peritoneum	peritoneum
Right pelvic tumour	pelvis	pelvic
Right Pelvic Tumour	pelvis	pelvic
Right pelvic wall tumour	pelvis	pelvic
Right supraclavicular cervical lymph node	lymph_node	lymph_node
Right tube and ovary	ovary_FT	pelvic
Right tumour	uncertain	uncertain
Round Ligament	pelvis	pelvic
Secondary debulking- peritoneum	peritoneum	peritoneum
Serosa of left colon	colon	abdominal
Sigmoid	colon	abdominal
Sigmoid colon	colon	abdominal
Sigmoid Colon	colon	abdominal
Sigmoid Mesentery	peritoneum	peritoneum
Sigmoid mesentry nodule	peritoneum	peritoneum
Small bowel	bowel	abdominal
Small Bowel	bowel	abdominal
small bowel mesentery	peritoneum	peritoneum
Small Bowel Mesentery	peritoneum	peritoneum
Spleen	spleen	abdominal
Splenic	spleen	abdominal
Subclavian Fossa Node	lymph_node	lymph_node
Subcutaneous nodule	subcutaneous	other
Subcutaneous Nodule	subcutaneous	other
Subcutaneous Nodule (Midline)	subcutaneous	other
Supra mesenteric lymph node	lymph_node	lymph_node
Supracilic Omentum	omentum	abdominal
Supraclavicular Lymph Node	lymph_node	lymph_node
Supra-clavicular Lymph Node	lymph_node	lymph_node
Supraclic tumour deposit	abdominal	abdominal
Supracolic Region	abdominal	abdominal
Suprapubic Region	abdominal	abdominal
"suprapubic, cutaneous"	abdominal	abdominal
"Suprapubic, Cutaneous"	subcutaneous	other
Supra-renal Lymph Node	lymph_node	lymph_node
Transvaginal Bx	gynae	pelvic
Transverse Mesentery	peritoneum	peritoneum
Tumour mass	uncertain	uncertain
Tumour next to posterior wall of uterus	gynae	pelvic
Tumour Next To Posterior Wall Of Uterus	gynae	pelvic
Umbilicus	abdominal	abdominal
UT/Cervix/Left tube & Ovary	gynae	pelvic
UT/TB/OV	gynae	pelvic
UT/TB/OV & bladder peritoneum	pelvis	pelvic
UT/TB/OV & cervix	gynae	pelvic
UT/TB/OV rectum & cervix	pelvis	pelvic
Uterus	gynae	pelvic
Uterus and Cervix	gynae	pelvic
"Uterus, tubes & ovaries"	gynae	pelvic
Vagina	gynae	pelvic
Vaginal vault	gynae	pelvic
Vaginal Vault	gynae	pelvic
Vaginal Wall	gynae	pelvic
